objectid,Station ID,Station Name,Station ID DOMO,Has Kiosk,Dock Count,Station Latitude,Station Longitude,Region_ID,shape,supervisor_district,analysis_neighborhood,data_loaded_at,data_as_of
159,166,College Ave at Alcatraz Ave,BK-A3,true,15,37.8513755,-122.2525233,14,POINT (-122.2525233 37.8513755),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
161,205,Miles Ave at Cavour St,OK-C4,true,19,37.8388,-122.258732,12,POINT (-122.258732 37.8388),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
162,213,32nd St at Adeline St,OK-H2,true,15,37.8238474,-122.2811926,12,POINT (-122.2811926 37.8238474),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
166,222,10th Ave at E 15th St,OK-L11,true,15,37.7927143,-122.2487796,12,POINT (-122.2487796 37.7927143),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
120,154,Doyle St at 59th St,EM-A2,true,15,37.8419238,-122.2880451,13,POINT (-122.2880451 37.8419238),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
125,170,Telegraph Ave at 58th St,OK-B3,true,15,37.8444927,-122.26135099999999,12,POINT (-122.261351 37.8444927),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
132,179,Telegraph Ave at 27th St,OK-I5,true,19,37.81607312,-122.2678864,12,POINT (-122.2678864 37.816073115),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
133,178,Broadway at 30th St,OK-H5,true,19,37.8193814,-122.2619284,12,POINT (-122.2619284 37.8193814),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
148,152,47th St at San Pablo Ave,EM-C3,true,19,37.8356322,-122.28105068,13,POINT (-122.281050682 37.835632205),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
150,169,Bushrod Park,OK-B2,true,19,37.846515600000004,-122.2653043,12,POINT (-122.2653043 37.8465156),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
152,176,MacArthur BART Station,OK-F4,true,31,37.82840997,-122.26631463,12,POINT (-122.266314626 37.828409973),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
127,162,Franklin St at 9th St,OK-M6,true,27,37.8005161,-122.2720799,12,POINT (-122.2720799 37.8005161),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
154,157,65th St at Hollis St,EM-C1,true,19,37.8467842,-122.2913761,13,POINT (-122.2913761 37.8467842),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
160,221,6th Ave at E 12th St (Temporary Location),OK-L10,true,15,37.794396,-122.25384199999999,12,POINT (-122.253842 37.794396),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
149,183,Telegraph Ave at 19th St,OK-K5-1,true,27,37.8087021,-122.2699271,12,POINT (-122.2699271 37.8087021),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
158,160,West Oakland BART Station,OK-N1,true,23,37.8053183,-122.2948365,12,POINT (-122.2948365 37.8053183),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
163,203,Webster St at 2nd St,OK-N6,true,0,37.79519476,-122.27396965,12,POINT (-122.27396965 37.795194764),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
164,207,Broadway at Coronado Ave,OK-D5,true,23,37.8357883,-122.2516207,12,POINT (-122.2516207 37.8357883),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
165,187,Jack London Square,OK-N5,true,0,37.796248,-122.279352,12,POINT (-122.279352 37.796248),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
