"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1500000US060750201012","Block Group 2; Census Tract 201.01; San Francisco County; California","2073","617",
"1500000US060750201021","Block Group 1; Census Tract 201.02; San Francisco County; California","1403","569",
"1500000US060750201022","Block Group 2; Census Tract 201.02; San Francisco County; California","1357","1053",
"1500000US060750201023","Block Group 3; Census Tract 201.02; San Francisco County; California","550","400",
"1500000US060750202011","Block Group 1; Census Tract 202.01; San Francisco County; California","934","199",
"1500000US060750202012","Block Group 2; Census Tract 202.01; San Francisco County; California","986","329",
"1500000US060750202021","Block Group 1; Census Tract 202.02; San Francisco County; California","1271","369",
"1500000US060750202022","Block Group 2; Census Tract 202.02; San Francisco County; California","1297","458",
"1500000US060750202023","Block Group 3; Census Tract 202.02; San Francisco County; California","1545","376",
"1500000US060750203001","Block Group 1; Census Tract 203; San Francisco County; California","1519","295",
"1500000US060750203002","Block Group 2; Census Tract 203; San Francisco County; California","946","461",
"1500000US060750203003","Block Group 3; Census Tract 203; San Francisco County; California","1009","248",
"1500000US060750204011","Block Group 1; Census Tract 204.01; San Francisco County; California","1115","345",
"1500000US060750204012","Block Group 2; Census Tract 204.01; San Francisco County; California","877","248",
"1500000US060750204013","Block Group 3; Census Tract 204.01; San Francisco County; California","1256","252",
"1500000US060750204021","Block Group 1; Census Tract 204.02; San Francisco County; California","1207","320",
"1500000US060750204022","Block Group 2; Census Tract 204.02; San Francisco County; California","1094","303",
"1500000US060750204023","Block Group 3; Census Tract 204.02; San Francisco County; California","1033","266",
"1500000US060750204024","Block Group 4; Census Tract 204.02; San Francisco County; California","835","242",
"1500000US060750205001","Block Group 1; Census Tract 205; San Francisco County; California","859","243",
"1500000US060750205002","Block Group 2; Census Tract 205; San Francisco County; California","943","175",
"1500000US060750205003","Block Group 3; Census Tract 205; San Francisco County; California","1168","327",
"1500000US060750206011","Block Group 1; Census Tract 206.01; San Francisco County; California","1173","396",
"1500000US060750206012","Block Group 2; Census Tract 206.01; San Francisco County; California","1871","411",
"1500000US060750206021","Block Group 1; Census Tract 206.02; San Francisco County; California","1408","248",
"1500000US060750206022","Block Group 2; Census Tract 206.02; San Francisco County; California","1156","470",
"1500000US060750207011","Block Group 1; Census Tract 207.01; San Francisco County; California","1271","308",
"1500000US060750207012","Block Group 2; Census Tract 207.01; San Francisco County; California","1252","551",
"1500000US060750207013","Block Group 3; Census Tract 207.01; San Francisco County; California","616","257",
"1500000US060750207021","Block Group 1; Census Tract 207.02; San Francisco County; California","1423","248",
"1500000US060750207022","Block Group 2; Census Tract 207.02; San Francisco County; California","825","212",
"1500000US060750208011","Block Group 1; Census Tract 208.01; San Francisco County; California","1183","355",
"1500000US060750208012","Block Group 2; Census Tract 208.01; San Francisco County; California","1129","545",
"1500000US060750208013","Block Group 3; Census Tract 208.01; San Francisco County; California","1431","443",
"1500000US060750208021","Block Group 1; Census Tract 208.02; San Francisco County; California","874","264",
"1500000US060750208022","Block Group 2; Census Tract 208.02; San Francisco County; California","1649","400",
"1500000US060750209001","Block Group 1; Census Tract 209; San Francisco County; California","1165","287",
"1500000US060750209002","Block Group 2; Census Tract 209; San Francisco County; California","1210","554",
"1500000US060750209003","Block Group 3; Census Tract 209; San Francisco County; California","765","223",
"1500000US060750209004","Block Group 4; Census Tract 209; San Francisco County; California","958","373",
"1500000US060750210001","Block Group 1; Census Tract 210; San Francisco County; California","1208","444",
"1500000US060750210002","Block Group 2; Census Tract 210; San Francisco County; California","879","469",
"1500000US060750210003","Block Group 3; Census Tract 210; San Francisco County; California","1112","337",
"1500000US060750210004","Block Group 4; Census Tract 210; San Francisco County; California","621","122",
"1500000US060750211001","Block Group 1; Census Tract 211; San Francisco County; California","1382","264",
"1500000US060750211002","Block Group 2; Census Tract 211; San Francisco County; California","803","209",
"1500000US060750211003","Block Group 3; Census Tract 211; San Francisco County; California","796","214",
"1500000US060750211004","Block Group 4; Census Tract 211; San Francisco County; California","978","213",
"1500000US060750212001","Block Group 1; Census Tract 212; San Francisco County; California","814","195",
"1500000US060750212002","Block Group 2; Census Tract 212; San Francisco County; California","1184","219",
"1500000US060750212003","Block Group 3; Census Tract 212; San Francisco County; California","986","264",
"1500000US060750213001","Block Group 1; Census Tract 213; San Francisco County; California","962","192",
"1500000US060750213002","Block Group 2; Census Tract 213; San Francisco County; California","1701","478",
"1500000US060750214001","Block Group 1; Census Tract 214; San Francisco County; California","688","263",
"1500000US060750214002","Block Group 2; Census Tract 214; San Francisco County; California","1559","280",
"1500000US060750214003","Block Group 3; Census Tract 214; San Francisco County; California","1253","203",
